Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Weight,Current,Surface Conditions,Water Type
running,2018-04-21 17:53:12,false,"Rondebosch Running","6.41","335","31:53","153","164","0.0","168","176","4:59","4:09","47","46","1.20","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-19 17:15:51,false,"Fish Hoek Running","10.85","725","1:04:55","163","198","0.0","160","248","5:59","2:57","783","783","1.05","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-18 17:48:26,false,"Rondebosch Running","8.42","429","40:08","158","183","0.0","168","186","4:46","3:49","79","78","1.25","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-17 05:32:10,false,"Newlands Running","10.22","444","59:15","139","181","0.0","162","186","5:48","4:14","478","477","1.06","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-15 09:20:51,false,"Rondebosch Running","13.71","753","1:13:17","161","176","0.0","166","180","5:21","3:06","428","431","1.13","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-13 06:42:52,false,"Rondebosch Running","8.89","494","44:43","162","178","0.0","170","182","5:02","4:08","42","43","1.17","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-11 17:05:09,false,"Newlands Running","10.01","620","58:10","159","178","0.0","160","174","5:49","3:52","472","475","1.07","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-10 18:27:03,false,"Rondebosch Running","5.04","231","22:06","156","172","0.0","174","182","4:23","3:45","20","21","1.31","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-08 11:12:55,false,"Newlands Running","9.03","589","1:00:12","157","182","0.0","158","244","6:40","4:04","515","516","0.95","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-07 14:54:18,false,"Lakeside Running","2.49","181","35:52","106","142","0.0","120","238","14:25","6:13","75","255","0.58","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
